Tensão(V),Corrente(A),Potência(W)
11.857,0.000,0.000
10.707,9.999,107.059
10.666,9.999,106.658
10.653,9.999,106.522
10.649,9.999,106.487
10.646,9.999,106.441
10.643,9.999,106.422
10.641,9.999,106.404
10.640,9.999,106.386
10.638,9.999,106.372
10.637,9.999,106.361
10.635,9.999,106.343
10.634,9.999,106.328
10.632,9.999,106.310
10.630,9.999,106.298
10.629,9.999,106.278
10.627,9.999,106.259
10.624,9.999,106.232
10.623,9.999,106.220
10.622,9.999,106.208
10.620,9.999,106.196
10.619,9.999,106.182
10.618,9.999,106.164
10.615,9.999,106.140
10.613,9.999,106.125
10.612,9.999,106.109
10.611,9.999,106.099
10.609,9.999,106.079
10.607,9.999,106.060
