Tensão(V),Corrente(A),Potência(W)
11.991,0.033,0.401
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
7.999,0.042,0.337
