Tensao_Fonte_V,Tensao_Multimetro_V
15.00,14.9827
15.00,14.9826
15.00,14.9826
15.00,14.9825
15.00,14.9826
15.00,14.9826
15.00,14.9826
15.00,14.9827
15.00,14.9827
15.00,14.9826
15.00,14.9826
15.00,14.9827
15.00,14.9826
15.00,14.9826
15.00,14.9827
15.00,14.9826
30.00,29.9649
30.00,29.9673
30.00,29.9674
30.00,29.9674
30.00,29.9674
30.00,29.9674
30.00,29.9676
30.00,29.9675
30.00,29.9675
30.00,29.9675
30.00,29.9676
30.00,29.9675
30.00,29.9676
30.00,29.9676
30.00,29.9674
30.00,29.9676
10.00,9.9882
10.00,9.9878
10.00,9.9878
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
10.00,9.9877
