Tempo (s),Corrente (A),Tensão Fonte (V)
1.430511474609375e-06,0.0119,10
0.16136431694030762,-0.0021,10
0.3221590518951416,0.0045,10
0.4808499813079834,-0.0008,10
0.6406903266906738,0.0006,10
0.8015005588531494,0.0102,10
0.9608139991760254,-0.0011,10
1.120725393295288,0.0072,10
1.2814178466796875,0.0023,10
1.4442589282989502,-0.0019,10
1.6209392547607422,0.0059,10
1.7809183597564697,0.0013,10
1.9407281875610352,0.0002,10
2.1004817485809326,0.0051,10
2.2609214782714844,0.0053,10
2.4211485385894775,-0.01,10
2.602693557739258,-0.0042,10
2.7613630294799805,0.003,10
2.9213883876800537,0.0042,10
3.0815489292144775,0.0021,10
3.2415459156036377,-0.0104,10
3.4018423557281494,-0.0006,20
3.5819013118743896,0.0093,5
3.742013692855835,-0.0036,5
3.902249574661255,-0.0025,5
4.061609506607056,-0.0066,5
