Tempo (s),Corrente (mA)
0.0008878707885742188,1.943
0.26128220558166504,1.858
0.5214369297027588,1.7550000000000001
0.7812111377716064,1.631
1.0408146381378174,1.599
1.3007936477661133,1.4189999999999998
1.5605089664459229,1.433
1.8205032348632812,1.313
2.0807976722717285,1.224
2.340762138366699,1.189
2.600783109664917,1.0219999999999998
2.861217498779297,1.0399999999999998
3.1210405826568604,0.948
3.3812808990478516,0.902
3.6410820484161377,0.8450000000000001
3.900548219680786,0.848
4.1610236167907715,0.824
4.440378427505493,0.696
4.70085334777832,0.71
4.960755109786987,0.625
5.221318006515503,0.622
5.480497598648071,0.558
5.740426778793335,0.5509999999999999
6.000941276550293,0.512
6.260881423950195,0.48700000000000004
6.521479368209839,0.48000000000000004
6.780925750732422,0.423
7.040430784225464,0.406
7.300246238708496,0.342
7.561182737350464,0.406
7.820233345031738,0.335
8.080450534820557,0.317
8.340617895126343,0.34900000000000003
8.601161241531372,0.331
8.860458612442017,0.275
9.120457887649536,0.275
9.380725383758545,0.236
9.64148235321045,0.27099999999999996
9.900838851928711,0.186
10.160664558410645,0.16799999999999998
10.421163558959961,0.147
10.681681394577026,0.186
10.940787315368652,0.129
11.200574398040771,0.158
11.460357427597046,0.14300000000000002
11.720725774765015,0.15100000000000002
11.982304811477661,0.097
12.240835189819336,0.115
12.500834703445435,0.10500000000000001
12.761358499526978,0.094
13.020784854888916,0.11900000000000001
13.281048059463501,0.006
13.540441036224365,2.042
13.801183462142944,1.971
14.060730934143066,1.7799999999999998
14.320483446121216,1.7229999999999999
14.580528259277344,1.6280000000000001
14.840431928634644,1.564
15.100637197494507,1.461
15.361148595809937,1.3439999999999999
15.620923042297363,1.288
15.881441831588745,1.2630000000000001
16.140920162200928,1.185
16.401149034500122,1.0790000000000002
16.68110203742981,1.036
16.940801858901978,0.983
17.20062828063965,0.902
17.46108365058899,0.916
17.7208034992218,0.8450000000000001
17.981168746948242,0.753
18.240789651870728,0.763
18.50049328804016,0.6890000000000001
18.761385440826416,0.671
19.020602226257324,0.629
19.280768871307373,0.583
19.54087734222412,0.48700000000000004
19.80111002922058,0.512
20.060590267181396,0.484
20.32071328163147,0.434
20.580913543701172,0.47300000000000003
20.840848445892334,0.44499999999999995
21.10111904144287,0.377
21.36106777191162,0.36000000000000004
21.621313333511353,0.314
21.88125443458557,0.317
22.140854120254517,0.25999999999999995
22.400880098342896,0.27799999999999997
22.66134285926819,0.26699999999999996
22.92086625099182,0.243
23.180956602096558,0.236
23.44037365913391,0.225
23.700910806655884,0.179
23.961137533187866,0.228
24.22039484977722,0.122
24.48096466064453,0.16799999999999998
24.740623474121094,0.19
25.00141954421997,0.126
25.26063585281372,0.186
25.520744562149048,0.133
25.78118395805359,0.101
26.040897846221924,0.087
26.300690412521362,0.10500000000000001
26.561208724975586,0.083
26.82115602493286,0.108
27.08045482635498,0.087
27.3412082195282,0.01
27.60061478614807,-2.319
27.861220598220825,-2.475
28.12186288833618,-2.407
28.3808856010437,-2.34
28.641160249710083,-2.258
28.92125630378723,-2.124
29.1810200214386,-2.049
29.44113302230835,-2.032
29.700511932373047,-1.9400000000000002
29.96119499206543,-1.8439999999999999
30.22115397453308,-1.7979999999999998
30.48097038269043,-1.653
30.74067711830139,-1.592
31.001309633255005,-1.497
31.26119828224182,-1.4760000000000002
31.520663022994995,-1.348
31.78070855140686,-1.2910000000000001
32.041335105895996,-1.252
32.30176877975464,-1.139
32.561235427856445,-1.107
32.82087755203247,-1.05
33.081098556518555,-1.019
33.34166216850281,-0.944
33.601258754730225,-0.9259999999999999
33.86103439331055,-0.919
34.121694564819336,-0.848
34.38057065010071,-0.7879999999999999
34.64122295379639,-0.735
34.90176510810852,-0.6890000000000001
35.16115975379944,-0.7
35.421382427215576,-0.615
35.68147373199463,-0.583
35.940593957901,-0.597
36.20139527320862,-0.558
36.460716009140015,-0.537
36.72058606147766,-0.462
36.980908155441284,-0.48000000000000004
37.241761684417725,-0.45899999999999996
37.50093698501587,-0.41300000000000003
37.76108455657959,-0.43
38.02078199386597,-0.352
38.280673027038574,-0.374
38.54132843017578,-0.363
38.8006706237793,-0.37
39.06062602996826,-0.303
39.34109568595886,-0.306
39.600748777389526,-0.31
39.86076068878174,-0.257
40.14076781272888,-0.289
40.40115308761597,-0.232
40.66071581840515,-0.232
40.92088317871094,-0.257
41.18099117279053,-0.221
41.44136190414429,-0.225
41.70096135139465,-0.232
41.96099281311035,-0.24600000000000002
42.22152638435364,-0.158
42.48088049888611,-0.225
42.740402698516846,-0.2
43.00146174430847,-0.225
43.26127314567566,-0.158
43.52103400230408,-0.2
43.78135395050049,-0.214
44.04089283943176,-0.158
44.301504373550415,-0.15100000000000002
44.560999155044556,-0.158
44.821043729782104,-0.09000000000000001
45.08108067512512,-0.14300000000000002
45.34123396873474,-0.129
45.60091280937195,-0.136
45.860936880111694,-0.165
46.12145161628723,-0.112
46.3809814453125,-0.13999999999999999
46.64159297943115,-0.179
46.901458740234375,-0.126
47.16133117675781,-0.112
47.42148399353027,-0.01
