Tempo (s),Corrente (A),Tensão Fonte (V)
0.0005557537078857422,0.003,10
0.1789848804473877,0.0025,10
0.3592112064361572,-0.0055,10
0.5392093658447266,-0.004,10
0.7203099727630615,-0.0011,10
0.8991825580596924,-0.0042,10
1.079017162322998,0.0049,10
1.2591283321380615,-0.0047,10
1.440152883529663,-0.0011,10
1.6193890571594238,0.007,10
1.7991602420806885,0.0083,10
1.979370355606079,0.0064,10
2.1601665019989014,0.0017,10
2.3392834663391113,0.0055,10
2.519411087036133,-0.0049,10
2.7036919593811035,0.0068,10
2.8801441192626953,0.0045,10
3.0598881244659424,0.0019,10
3.2393696308135986,-0.0059,10
3.4193356037139893,-0.0064,10
3.599992036819458,-0.0028,10
3.7792487144470215,-0.0051,10
3.959078788757324,0.0113,10
4.139456748962402,-0.0038,10
4.3204779624938965,-0.0006,10
4.500495195388794,-0.0002,10
4.679089546203613,0.0008,10
4.859509468078613,0.0066,10
5.039528131484985,0.0036,10
5.219085931777954,0.0053,10
5.399616479873657,-0.0096,10
5.579412937164307,0.0051,10
5.7643513679504395,0.0038,10
5.939177989959717,0.0006,10
6.1192545890808105,-0.0034,10
6.299917221069336,-0.0062,10
6.479841709136963,-0.0008,10
6.659172773361206,-0.0049,10
6.839488983154297,0.0091,10
7.019249200820923,-0.0051,10
7.200670957565308,-0.0008,10
7.3792665004730225,-0.0002,10
7.5591981410980225,0.0072,10
7.739080429077148,0.0015,10
7.920285701751709,0.0038,10
8.099413633346558,0.0019,10
8.280784130096436,-0.0117,10
8.459235906600952,0.0045,10
8.639702558517456,0.0032,10
8.822964429855347,0.0011,10
8.999215364456177,-0.0072,10
9.179195642471313,-0.0034,10
9.360170602798462,-0.0017,10
9.539213180541992,-0.0006,10
9.719101905822754,0.01,10
9.89919400215149,-0.0002,10
10.07980728149414,0.0015,10
10.260436058044434,-0.0042,10
10.439921140670776,0.007,10
10.619313478469849,0.0047,10
10.800291061401367,0.0034,10
10.979363441467285,0.0017,10
11.159279823303223,-0.0068,10
11.339263439178467,-0.0015,10
11.520037174224854,-0.0055,10
11.699284553527832,0.0045,10
11.883921146392822,-0.0047,10
12.059079885482788,-0.0021,10
12.23996639251709,-0.0017,10
12.419450283050537,0.007,10
12.599613904953003,0.0057,10
12.783230304718018,0.0019,10
12.96039342880249,0.0062,10
13.139273643493652,-0.0076,10
13.319376230239868,0.0045,10
13.499447345733643,0.0047,10
13.680307865142822,0.0015,10
13.859516620635986,0.0079,10
14.039245367050171,-0.0032,10
14.219850063323975,0.0,10
14.401931524276733,0.0032,20
14.579777479171753,0.0104,20
14.759517908096313,0.0042,20
14.9441978931427,0.0057,20
15.120418548583984,-0.0064,20
15.300241470336914,0.0057,20
15.479443550109863,0.0032,20
15.659299850463867,0.0011,20
15.840298414230347,-0.0064,20
16.019620656967163,-0.003,20
16.199306964874268,-0.0015,20
16.379791021347046,-0.0036,20
16.560269594192505,0.01,20
16.74006748199463,0.0006,20
16.91951823234558,0.0023,20
17.09943437576294,0.0015,20
17.280839920043945,0.0055,20
17.459566354751587,0.0036,20
17.63934850692749,0.0017,20
17.81950616836548,-0.0059,20
18.004367351531982,-0.0025,20
18.179837703704834,-0.0008,20
18.359578371047974,-0.0032,20
18.539974451065063,0.0087,20
18.720506191253662,-0.0051,20
18.899287223815918,-0.0045,20
19.0798556804657,0.0002,20
19.2606418132782,0.0064,5
19.4404513835907,0.0032,5
19.619667291641235,0.0002,5
