Tensão(V),Corrente(A),Potência(W)
11.868,0.999,11.855
12.047,0.999,12.034
12.045,0.999,12.032
12.041,0.999,12.028
12.040,0.999,12.026
12.038,0.999,12.024
12.035,0.999,12.022
12.034,0.999,12.021
12.032,0.999,12.019
12.031,0.999,12.018
12.029,0.999,12.016
12.028,0.999,12.015
12.027,0.999,12.014
12.026,0.999,12.013
12.024,0.999,12.011
12.024,0.999,12.011
12.023,0.999,12.009
12.021,0.999,12.008
12.021,0.999,12.008
12.020,0.999,12.007
12.019,0.999,12.006
12.018,0.999,12.005
12.017,0.999,12.004
12.017,0.999,12.004
12.016,0.999,12.003
12.015,0.999,12.002
12.014,0.999,12.001
12.014,0.999,12.001
12.013,0.999,12.000
