Tempo (s),Tensão Capacitor (V),Tensão Fonte (V)
0.0008051395416259766,5.2929,10
0.7802908420562744,6.076,10
0.9400160312652588,6.8285,10
1.1199040412902832,7.3139,10
1.2800285816192627,7.7874,10
1.4400269985198975,8.139,10
1.599916696548462,8.4158,10
1.7598202228546143,8.6694,10
1.9001002311706543,8.8535,10
2.060256004333496,9.0463,10
2.221137285232544,9.193,10
2.380303382873535,9.3091,10
2.5401713848114014,9.4123,10
2.700761556625366,9.5154,10
2.8801050186157227,9.5821,10
3.040452718734741,9.9984,20
3.2014682292938232,13.716,20
3.5999937057495117,14.796,20
3.7604141235351562,15.591,20
3.9203310012817383,16.232,20
4.0805723667144775,16.865,20
4.240316390991211,17.35,20
4.4001922607421875,17.814,20
4.5601935386657715,18.104,20
4.720179080963135,18.406,20
4.879854202270508,18.645,20
5.04048228263855,18.797,20
5.201021671295166,18.954,20
5.360001564025879,19.147,20
5.5198047161102295,19.207,20
5.6801769733428955,19.355,20
5.8400866985321045,19.409,20
6.000576496124268,19.485,20
6.161383390426636,18.989,5
6.340407609939575,16.985,5
6.500124931335449,14.601,5
6.6854987144470215,13.078,5
6.840258836746216,11.643,5
7.000210285186768,8.5203,5
7.560324668884277,7.9432,5
7.720231056213379,7.4885,5
7.879579782485962,7.0855,5
8.040168523788452,6.713,5
8.199879169464111,6.4376,5
8.360366582870483,6.2172,5
8.520156621932983,6.0078,5
8.679877758026123,5.8539,5
8.839866638183594,5.7142,5
8.99979305267334,5.5939,5
9.159866333007812,5.504,5
9.320304870605469,5.4212,5
9.479634046554565,5.3577,5
9.639873743057251,5.2975,5
9.799862384796143,5.2527,5
9.959954023361206,5.2121,5
10.119854211807251,5.1788,5
