Tempo (s),Tensão Capacitor (V),Tensão Fonte (V)
0.0005247592926025391,0.4307093,10
0.35963869094848633,1.456993,10
0.8994874954223633,2.091908,10
1.260005235671997,2.670581,10
1.620816946029663,3.207895,10
1.9799981117248535,3.697437,10
2.3401989936828613,4.153842,10
2.6993014812469482,4.57554,10
3.059593915939331,4.965658,10
3.4202582836151123,5.327868,10
3.780028820037842,5.661842,10
4.139643430709839,5.971541,10
4.499695301055908,6.258413,10
4.859978199005127,6.524536,10
5.219868898391724,6.770684,10
5.57965612411499,6.998996,10
5.939490795135498,7.210765,10
6.300254583358765,7.406939,10
6.65986180305481,7.588521,10
7.020134687423706,7.757366,10
7.379471302032471,7.913685,10
7.739230155944824,8.058601,10
8.099791288375854,8.193315,10
8.459322452545166,8.318413,10
8.8200044631958,8.434377,10
9.179428577423096,8.54201,10
9.540329456329346,8.641899,10
9.899274587631226,8.734443,10
10.259793281555176,8.820737,10
10.620121002197266,8.90124,10
10.979654788970947,8.975108,10
11.33979845046997,9.044166,10
11.699870109558105,9.108216,10
12.059801578521729,9.16775,10
12.419452905654907,9.223113,10
12.779507160186768,9.274688,10
13.139995336532593,9.322543,10
13.499360799789429,9.367261,10
13.859469175338745,9.408394,10
14.21944546699524,9.44687,10
14.579641580581665,9.48266,10
14.940012454986572,9.515929,10
15.200244903564453,9.844643,20
15.559623956680298,10.585833,20
15.92037057876587,11.265166,20
16.280115365982056,12.25677,20
16.859968662261963,12.80838,20
17.22000527381897,13.31483,20
17.579822301864624,13.78262,20
17.939772367477417,14.21483,20
18.30017590522766,14.61615,20
18.66007900238037,14.98703,20
19.020119667053223,15.33038,20
19.37992000579834,15.64831,20
19.740052223205566,15.94377,20
20.099966764450073,16.21714,20
20.45979619026184,16.47094,20
20.819777250289917,16.70641,20
21.179839849472046,16.925,20
21.539955615997314,17.1281,20
21.899998426437378,17.31669,20
22.259899616241455,17.49195,20
22.620083570480347,17.65491,20
22.979981660842896,17.80617,20
23.34042978286743,17.94717,20
23.69970393180847,18.078,20
24.06051230430603,18.19992,20
24.419393062591553,18.31287,20
24.77999234199524,18.41838,20
25.140990734100342,18.51726,20
25.499770402908325,18.60862,20
25.85999631881714,18.69321,20
26.220459461212158,18.77294,20
26.57941198348999,18.84625,20
26.940417766571045,18.91579,20
27.299877166748047,18.97935,20
27.66026544570923,19.03932,20
28.019694328308105,19.09503,20
28.379817485809326,19.14714,20
28.73995041847229,19.19558,20
29.10035514831543,19.24088,20
29.45945930480957,19.2831,20
29.820125579833984,19.32257,20
30.17963695526123,19.35938,20
30.539560794830322,19.39388,20
30.900015354156494,19.42584,20
31.260295391082764,19.45598,20
31.621029138565063,19.48427,20
31.97978162765503,19.51026,20
32.240535736083984,19.20871,5
32.59999465942383,18.2989,5
32.96026635169983,17.41655,5
33.31982922554016,16.59258,5
33.67964482307434,15.80599,5
34.03946805000305,15.05712,5
34.399880170822144,14.34587,5
34.76015281677246,13.67233,5
35.12023043632507,13.04902,5
35.4799690246582,12.47341,5
35.84059739112854,11.93765,5
36.19975972175598,11.44206,5
36.560025691986084,10.776985,5
37.10025477409363,10.361817,5
37.4606032371521,9.977095,5
37.81988215446472,9.625436,5
38.180407762527466,9.29645,5
38.540114879608154,8.991798,5
38.899914026260376,8.708591,5
39.26013493537903,8.445958,5
39.620453119277954,8.201883,5
39.980366230010986,7.975417,5
40.34007978439331,7.765551,5
40.70016837120056,7.570396,5
41.06079459190369,7.387638,5
41.42024803161621,7.221065,5
41.78006720542908,7.065004,5
42.140127658843994,6.920088,5
42.50054144859314,6.785378,5
42.861043214797974,6.659672,5
43.22031378746033,6.544256,5
43.579923152923584,6.436455,5
43.939998626708984,6.336365,5
44.299986362457275,6.243297,5
44.66010928153992,6.15693,5
45.02031087875366,6.076594,5
45.3802011013031,6.002,5
45.74079895019531,5.932317,5
46.10046362876892,5.868305,5
46.46080446243286,5.808074,5
46.82025218009949,5.752861,5
47.18021273612976,5.701202,5
47.539751052856445,5.653228,5
47.90032148361206,5.608507,5
48.260767221450806,5.566673,5
48.62054467201233,5.528384,5
48.98019528388977,5.492564,5
