Tempo (s),Tensão Capacitor (V),Tensão Fonte (V)
0.0009350776672363281,3.1089,10
0.3915693759918213,4.3217,10
0.5519638061523438,5.217,10
0.7114710807800293,6.0114,10
0.8718066215515137,6.7313,10
1.0321245193481445,7.2275,10
1.1965105533599854,7.689,10
1.3513000011444092,8.0602,10
1.5124728679656982,8.375,10
1.6719355583190918,8.6388,10
1.831479787826538,8.8524,10
1.9719955921173096,9.0179,10
2.131363868713379,9.1797,10
2.2918384075164795,9.2994,10
2.4518253803253174,9.4088,10
2.611769676208496,9.4955,10
2.7719264030456543,9.5745,10
2.932863235473633,9.639,10
3.0927016735076904,10.182,20
3.25150728225708,13.814,20
3.6512835025787354,14.76,20
3.8111772537231445,15.554,20
3.9715774059295654,16.324,20
4.131573438644409,16.89,20
4.291245222091675,17.445,20
4.45231032371521,17.828,20
4.611814975738525,18.101,20
4.771316766738892,18.459,20
4.933271169662476,18.641,20
5.0918049812316895,18.847,20
5.251366138458252,19.023,20
5.411325454711914,19.175,20
5.571772813796997,19.299,20
5.731863260269165,19.351,20
5.892358779907227,19.429,20
6.052099227905273,19.517,20
6.212590217590332,19.316,5
6.371386528015137,17.325,5
6.531615972518921,15.224,5
6.691685438156128,13.509,5
6.85136866569519,12.111,5
7.012342691421509,8.5511,5
7.61182165145874,7.9842,5
7.7713892459869385,7.5,5
7.931232929229736,7.0856,5
8.091739177703857,6.7412,5
8.251291036605835,6.4372,5
8.411122560501099,6.2046,5
8.571075677871704,6.0081,5
8.731221199035645,5.8544,5
8.891499757766724,5.7167,5
9.051393985748291,5.5921,5
9.21214246749878,5.5026,5
9.371885299682617,5.4256,5
9.53110671043396,5.3506,5
9.691669225692749,5.3006,5
9.851054668426514,5.2477,5
10.011496543884277,5.2111,5
10.171394109725952,5.1812,5
