Tempo_s,Tensao_Fonte_Setada_V,Tensao_Medida_V
0.29,0.100,0.601
0.53,0.200,0.198
0.77,0.300,0.299
1.01,0.400,0.399
1.25,0.500,0.500
1.49,0.600,0.599
1.73,0.700,0.699
1.97,0.800,0.798
2.21,0.900,0.899
2.45,1.000,0.998
2.69,1.100,1.098
2.93,1.200,1.198
3.17,1.300,1.299
3.41,1.400,1.398
3.65,1.500,1.498
3.89,1.600,1.598
4.15,1.700,1.699
4.39,1.800,1.798
4.63,1.900,1.899
4.87,2.000,1.998
5.11,2.100,2.099
5.35,2.200,2.199
5.59,2.300,2.299
5.83,2.400,2.399
6.07,2.500,2.498
6.31,2.600,2.599
6.55,2.700,2.699
6.79,2.800,2.799
7.03,2.900,2.898
7.27,3.000,2.999
7.51,3.100,3.098
7.75,3.200,3.199
7.99,3.300,3.299
8.23,3.400,3.399
8.47,3.500,3.498
8.71,3.600,3.599
8.97,3.700,3.699
9.21,3.800,3.799
9.45,3.900,3.898
9.71,4.000,3.999
9.95,4.100,4.099
10.19,4.200,4.199
10.43,4.300,4.298
10.67,4.400,4.399
10.91,4.500,4.498
11.15,4.600,4.599
11.39,4.700,4.699
11.63,4.800,4.799
11.87,4.900,4.899
12.11,5.000,4.999
12.35,5.100,5.099
12.59,5.200,5.199
12.83,5.300,5.299
13.07,5.400,5.399
13.31,5.500,5.499
13.55,5.600,5.599
13.79,5.700,5.699
14.03,5.800,5.798
14.27,5.900,5.899
14.51,6.000,5.999
14.77,6.100,6.099
15.01,6.200,6.198
15.25,6.300,6.299
15.49,6.400,6.399
15.73,6.500,6.499
15.97,6.600,6.599
16.21,6.700,6.699
16.45,6.800,6.799
16.69,6.900,6.899
16.93,7.000,6.999
17.17,7.100,7.099
17.41,7.200,7.199
17.65,7.300,7.299
17.89,7.400,7.399
18.13,7.500,7.499
18.37,7.600,7.599
18.61,7.700,7.699
18.85,7.800,7.799
19.09,7.900,7.899
19.33,8.000,7.999
19.57,8.100,8.098
19.81,8.200,8.199
20.05,8.300,8.299
20.29,8.400,8.398
20.53,8.500,8.498
20.77,8.600,8.599
21.01,8.700,8.699
21.25,8.800,8.799
21.49,8.900,8.898
21.73,9.000,8.999
21.97,9.100,9.099
22.21,9.200,9.198
22.45,9.300,9.299
22.69,9.400,9.399
22.93,9.500,9.499
23.17,9.600,9.598
23.41,9.700,9.699
23.65,9.800,9.799
23.89,9.900,9.899
24.13,10.000,9.998
24.37,10.100,10.099
24.61,10.200,10.198
24.85,10.300,10.299
25.09,10.400,10.398
25.33,10.500,10.499
25.57,10.600,10.599
25.81,10.700,10.699
